iter	Passed	Remaining
0	0	72
1	1	68
2	2	71
3	2	64
4	3	63
5	3	60
6	4	58
7	4	57
8	5	56
9	6	56
10	6	55
11	7	55
12	8	54
13	8	54
14	9	54
15	10	53
16	11	57
17	12	57
18	13	56
19	13	54
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	18	46
29	19	45
30	19	44
31	20	43
32	20	42
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	24	37
40	26	37
41	26	36
42	27	35
43	27	35
44	28	34
45	29	34
46	29	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	30
53	34	29
54	34	28
55	35	28
56	36	27
57	36	26
58	37	26
59	38	25
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	19
71	48	18
72	48	18
73	49	17
74	49	16
75	50	15
76	51	15
77	52	14
78	53	14
79	55	13
80	55	13
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
