iter	Passed	Remaining
0	143	143740
1	144	72334
2	145	48376
3	146	36379
4	146	29204
5	148	24519
6	149	21200
7	150	18630
8	150	16623
9	151	15007
10	152	13682
11	152	12575
12	153	11637
13	153	10831
14	154	10153
15	155	9545
16	155	9009
17	156	8533
18	156	8103
19	157	7716
20	158	7370
21	158	7056
22	159	6768
23	159	6502
24	160	6260
25	161	6042
26	161	5836
27	162	5649
28	163	5473
29	164	5303
30	164	5143
31	165	4994
32	165	4854
33	166	4723
34	166	4598
35	167	4480
36	167	4370
37	168	4268
38	169	4167
39	169	4072
40	170	3981
41	170	3894
42	171	3811
43	171	3734
44	172	3659
45	172	3587
46	173	3519
47	174	3454
48	174	3391
49	175	3332
50	176	3280
51	176	3223
52	177	3169
53	177	3117
54	178	3068
55	179	3021
56	179	2974
57	180	2929
58	180	2885
59	181	2842
60	181	2800
61	182	2761
62	183	2727
63	184	2691
64	184	2660
65	185	2627
66	186	2593
67	186	2559
68	187	2527
69	187	2495
70	188	2464
71	188	2434
72	189	2404
73	189	2376
74	190	2350
75	191	2324
76	191	2297
77	192	2271
78	192	2246
79	193	2221
80	193	2197
81	194	2174
82	194	2149
83	195	2127
84	195	2105
85	196	2084
86	196	2064
87	197	2044
88	197	2025
89	198	2007
90	199	1991
91	200	1976
92	200	1958
93	201	1941
94	201	1923
95	202	1906
96	203	1890
97	203	1874
98	204	1857
99	204	1841
100	205	1826
101	205	1812
102	206	1797
103	206	1782
104	207	1768
105	208	1754
106	208	1740
107	209	1727
108	209	1713
109	210	1700
110	210	1687
111	211	1674
112	211	1662
113	212	1649
114	212	1638
115	213	1627
116	214	1615
117	215	1610
118	216	1599
119	216	1588
120	217	1577
121	217	1565
122	218	1554
123	218	1544
124	219	1534
125	219	1524
126	220	1513
127	220	1505
128	221	1496
129	222	1486
130	222	1476
131	223	1467
132	223	1458
133	224	1449
134	224	1441
135	225	1432
136	226	1424
137	226	1415
138	227	1407
139	227	1400
140	228	1392
141	229	1384
142	229	1376
143	230	1368
144	230	1360
145	231	1352
146	231	1345
147	232	1337
148	232	1330
149	233	1322
150	233	1315
151	234	1308
152	235	1301
153	235	1294
154	236	1288
155	236	1281
156	237	1275
157	238	1269
158	238	1262
159	239	1256
160	239	1249
161	240	1243
162	241	1237
163	241	1232
164	242	1226
165	243	1221
166	243	1215
167	244	1209
168	244	1204
169	245	1198
170	246	1192
171	246	1186
172	247	1181
173	247	1175
174	248	1170
175	248	1164
176	249	1159
177	249	1153
178	250	1149
179	251	1144
180	251	1140
181	252	1135
182	253	1130
183	253	1125
184	254	1119
185	254	1114
186	255	1109
187	255	1104
188	256	1099
189	256	1094
190	257	1090
191	258	1086
192	258	1082
193	259	1078
